user_id,session_id,country_of_residence,has_biometrics,phone_number_country_code,reason_to_use_app,occupation,kyc_state,gender,document_issuing_country,locale,screening_state,is_adverse_media_minor,is_pep,id,reference_transaction_id,state,type,amount,currency,direction,completed_at,created_at,random_for_probability,random_for_prediction,naive_bias_probability,naive_bias_prediction,cal_naive_bias_probability,cal_naive_bias_prediction,Suspention_Score
8b9cdf59-96ce-43b8-bb72-8f5c405894f4,956f9bd1-6605-4f2c-b710-a64c31d84bec,FR,True,33,DAILY_PAYMENT_SERVICES,IT_AND_COMMUNICATION,COMPLETED,M,FR,fr_FR,COMPLETED,False,False,83a83d0f-35e2-4ce4-b1c2-3a233e7f08c4,569bc41a-587c-4440-9a09-847d685d0923,PENDING,PROCESSING_FEE,14.99,EUR,OUT,,2024-09-17 18:38:52.525988 UTC,0.19016909195789572,0,0.9999855192193576,1,0.2949597201457811,0,0.44
8b9cdf59-96ce-43b8-bb72-8f5c405894f4,956f9bd1-6605-4f2c-b710-a64c31d84bec,FR,True,33,DAILY_PAYMENT_SERVICES,IT_AND_COMMUNICATION,COMPLETED,M,FR,fr_FR,COMPLETED,False,False,0255aced-f1fc-4127-a764-4de91d373036,3b93390f-1fc4-480b-a0f7-050400e2053b,FAILED,CARD_TOP_UP,110.0,EUR,IN,2024-09-18 13:51:43.934669 UTC,2024-09-18 13:49:13.184326 UTC,0.3689279295361375,0,0.999999514497987,1,0.41763152632677103,0,0.56
8b9cdf59-96ce-43b8-bb72-8f5c405894f4,956f9bd1-6605-4f2c-b710-a64c31d84bec,FR,True,33,DAILY_PAYMENT_SERVICES,IT_AND_COMMUNICATION,COMPLETED,M,FR,fr_FR,COMPLETED,False,False,61a7c426-3a02-495e-a96f-e7cf3376206b,25126d96-d2f1-49a4-8467-9634d824674f,FAILED,CARD_TOP_UP,105.0,EUR,IN,2024-09-18 13:53:07.991475 UTC,2024-09-18 13:53:04.232099 UTC,0.3689279295361375,0,0.9999995138924769,1,0.41759689767498837,0,0.56
e409d12e-2b1e-44af-a08d-510d2fb016b2,835d0560-4767-4f01-8a8e-109780286976,FR,True,33,DAILY_PAYMENT_SERVICES,SERVICE_AND_SALES,COMPLETED,M,IT,fr_BR,TO_SOFT_REVIEW,False,False,9fb2be9c-2b1f-4381-9263-ce125955ef34,22f6392a-a9e9-441d-a010-9411ebdf82a8,PENDING,CARDS,13.8,EUR,OUT,,2024-08-25 11:32:11.370121 UTC,0.18331441378215574,0,0.000264754220379905,0,0.1537672776714068,0,0.13
e409d12e-2b1e-44af-a08d-510d2fb016b2,835d0560-4767-4f01-8a8e-109780286976,FR,True,33,DAILY_PAYMENT_SERVICES,SERVICE_AND_SALES,COMPLETED,M,IT,fr_BR,TO_SOFT_REVIEW,False,False,94c1a135-6723-4496-8139-eff77c03c3e8,8bd0db21-2709-4efb-bf53-2a72dc583785,COMPLETED,CARDS,9.93,EUR,OUT,2024-08-25 06:20:22.52925 UTC,2024-08-24 10:10:51.551907 UTC,0.17649769054437983,0,0.001406817331148097,0,0.1537672776714068,0,0.12
e409d12e-2b1e-44af-a08d-510d2fb016b2,835d0560-4767-4f01-8a8e-109780286976,FR,True,33,DAILY_PAYMENT_SERVICES,SERVICE_AND_SALES,COMPLETED,M,IT,fr_BR,TO_SOFT_REVIEW,False,False,f3e5f9c7-ad8b-48f4-8700-7e654b8db94e,413c1255-9212-40de-aeeb-15084cfd4123,COMPLETED,CARDS,4.75,EUR,OUT,2024-08-25 06:20:31.572715 UTC,2024-08-24 16:10:27.587824 UTC,0.17956496642145395,0,0.001404483732905233,0,0.1537672776714068,0,0.12
e409d12e-2b1e-44af-a08d-510d2fb016b2,835d0560-4767-4f01-8a8e-109780286976,FR,True,33,DAILY_PAYMENT_SERVICES,SERVICE_AND_SALES,COMPLETED,M,IT,fr_BR,TO_SOFT_REVIEW,False,False,1e1c4023-a960-4a80-b609-db20d8f48531,6f30a3e1-dcf3-44aa-9bbf-24153c2737de,COMPLETED,CARDS,21.99,EUR,OUT,2024-08-25 06:24:49.048967 UTC,2024-08-24 14:11:33.208149 UTC,0.16589153397996553,0,0.0014121593519461062,0,0.1537672776714068,0,0.12
e409d12e-2b1e-44af-a08d-510d2fb016b2,835d0560-4767-4f01-8a8e-109780286976,FR,True,33,DAILY_PAYMENT_SERVICES,SERVICE_AND_SALES,COMPLETED,M,IT,fr_BR,TO_SOFT_REVIEW,False,False,9fb2be9c-2b1f-4381-9263-ce125955ef34,22f6392a-a9e9-441d-a010-9411ebdf82a8,COMPLETED,CARDS,13.8,EUR,OUT,2024-08-26 06:48:52.756322 UTC,2024-08-25 11:32:11.370121 UTC,0.16983102387771315,0,0.001408542169838503,0,0.1537672776714068,0,0.12
e409d12e-2b1e-44af-a08d-510d2fb016b2,835d0560-4767-4f01-8a8e-109780286976,FR,True,33,DAILY_PAYMENT_SERVICES,SERVICE_AND_SALES,COMPLETED,M,IT,fr_BR,TO_SOFT_REVIEW,False,False,b4946be5-1bd6-42d4-8568-8d74bcf00301,16f720c0-98b6-465b-aa2f-6bfa0d7404b5,COMPLETED,BANK_TRANSFER,30.0,EUR,IN,2024-08-25 11:10:05.569646 UTC,2024-08-25 11:09:59.415277 UTC,0.3243102691147741,0,0.44063488914067483,0,0.1537672776714068,0,0.3
e409d12e-2b1e-44af-a08d-510d2fb016b2,835d0560-4767-4f01-8a8e-109780286976,FR,True,33,DAILY_PAYMENT_SERVICES,SERVICE_AND_SALES,COMPLETED,M,IT,fr_BR,TO_SOFT_REVIEW,False,False,2dff4ab2-6a99-49a3-8c5e-43eddbb06c3c,cd09ff95-4ee2-4ac0-bb65-f4123539aed3,COMPLETED,BANK_TRANSFER,15.0,EUR,OUT,2024-08-25 14:26:42.152479 UTC,2024-08-25 14:26:33.345167 UTC,0.34686122104888395,0,0.06059031537453496,0,0.1537672776714068,0,0.21
