id,reference_transaction_id,user_id,state,type,category_id,amount,currency,direction,completed_at,created_at
f72eb354-1dd8-4570-8b75-54716fcd9050,9fdc0519-db17-45fc-b86b-6a740fbd42b4,d43eb4ce-1533-426f-852c-df0f43958922,FAILED,CARD_TOP_UP,bd76ea84-00ec-4bf1-844c-855b39cc8a53,500,EUR,IN,2024-08-26 09:05:37.213234 UTC,2024-08-26 09:05:33.016947 UTC
8977cd2a-f971-43ef-87fd-e7006e501845,30f7fe83-31c3-430c-a8ba-66cbe26811f9,d43eb4ce-1533-426f-852c-df0f43958922,FAILED,CARD_TOP_UP,bd76ea84-00ec-4bf1-844c-855b39cc8a53,500,EUR,IN,2024-08-26 09:03:07.343472 UTC,2024-08-26 09:03:00.671257 UTC
b5c1a477-a784-4ab1-9af1-a055adb20a54,25dc15f1-41de-4101-8a6e-26d0a4940b86,d43eb4ce-1533-426f-852c-df0f43958922,PENDING,CARDS,61ca224f-774d-450c-899a-147bcc1ddb33,10,EUR,OUT,,2024-08-25 14:40:47.603417 UTC
2f349fdd-e22f-43b0-a28f-08e7e1b3d8b2,56aafa31-209b-4cc4-afd9-43f20c2f9814,d43eb4ce-1533-426f-852c-df0f43958922,PENDING,CRYPTO_ON_RAMP,740898cf-e9d6-4ff0-ade8-5fe8cdd092c8,900,EUR,OUT,,2024-08-26 09:08:10.130901 UTC
4652f777-cd5e-42d1-9c2c-d77fc3138f94,ccc65c16-29a3-4e01-a3d3-e3e5c0f5a94d,d43eb4ce-1533-426f-852c-df0f43958922,PENDING,CARDS,74724282-f4b2-4629-94b6-fcd7880ce7fe,16.45,EUR,OUT,,2024-08-25 14:23:13.301453 UTC
cbe95973-746d-4c11-a06c-55897403caa9,42777a04-2f65-4141-ba12-416ef294795f,1d8e28cc-d2d3-459c-9867-3a66684c2fe9,PENDING,CARDS,8c6dc9fc-af02-4754-a312-25d7d05c091b,3.9,EUR,OUT,,2024-08-26 10:33:50.629801 UTC
a3fd5889-0c45-4039-a1ad-c4d5364c82e6,a478bff6-15f9-43f2-a2f5-0ff254c3c7b7,d43eb4ce-1533-426f-852c-df0f43958922,PENDING,CARDS,8c6dc9fc-af02-4754-a312-25d7d05c091b,15.9,EUR,OUT,,2024-08-25 15:26:30.346799 UTC
b1fc4262-f751-4dcc-9453-f26373027803,8909680b-13ca-49da-8b3e-eaefbd4b395c,d43eb4ce-1533-426f-852c-df0f43958922,PENDING,CARDS,b2ad0633-7bc7-40b9-8128-c483bf6f0c5b,50,EUR,OUT,,2024-08-25 13:30:08.754032 UTC
b0e22f34-ca41-4e3c-a402-ba006f2caa43,05751132-d467-4a11-b559-f8660123370c,1d8e28cc-d2d3-459c-9867-3a66684c2fe9,PENDING,CARDS,b818b29c-cd13-4352-863d-f930de135c65,15,EUR,OUT,,2024-08-25 20:09:04.465918 UTC
fbfb3fd8-0306-47f2-ba7d-2f683b933c08,609cbbe7-e02d-49f6-a9cf-1366b46070ae,58efe8c8-a8d7-4ed2-ab86-b2242ff34451,PENDING,PROCESSING_FEE,b818b29c-cd13-4352-863d-f930de135c65,14.99,EUR,OUT,,2024-08-26 08:25:01.937412 UTC
5ff59604-3426-41b2-ab0a-bfe8b9da488d,d2500658-d5de-4415-8f51-0bc3ff484416,1d8e28cc-d2d3-459c-9867-3a66684c2fe9,PENDING,CARDS,b818b29c-cd13-4352-863d-f930de135c65,15,EUR,OUT,,2024-08-25 16:14:45.459794 UTC
6644c0f8-3dd8-4b30-b8e6-d2f2267ff8ba,4b767d3f-1209-4e37-9dbc-70f747cf59fd,1d8e28cc-d2d3-459c-9867-3a66684c2fe9,PENDING,CARDS,b818b29c-cd13-4352-863d-f930de135c65,15,EUR,OUT,,2024-08-25 13:51:27.886865 UTC
d11f2e73-01ba-496a-aece-bc22e38e2edc,50f106c0-5270-4197-879e-0912354398f3,d43eb4ce-1533-426f-852c-df0f43958922,PENDING,CARDS,e2b1df1c-c8d9-47f5-9937-2c40bf0bc514,50,EUR,OUT,,2024-08-26 10:45:27.111011 UTC
1d27cb25-689e-47dc-b1e8-4474fcb08a13,1a1183b8-60c4-4569-a64e-58b5215e3f04,a002a13a-dcdc-4de5-8eb5-1bdf2f2e2475,PENDING,CARDS,e464e1e2-40ca-416d-a541-ba0865e252f9,1,EUR,OUT,,2024-08-26 09:23:41.542738 UTC
81f60e09-d720-4990-a580-fe2363b4df0d,feb02066-cf19-40ee-8df1-9bb23a761b36,eba5ca61-6d5d-4252-9b6f-2a6dd263e795,PENDING,CARDS,f8aaa857-9086-463e-b531-9aaca3a93745,100,EUR,OUT,,2024-08-25 09:24:50.905846 UTC
fab7726b-e1ff-4b3d-8614-4b2bb6d57001,50df9f59-b50e-452d-9bc1-2e1ac959f6a8,eba5ca61-6d5d-4252-9b6f-2a6dd263e795,PENDING,CARDS,f8aaa857-9086-463e-b531-9aaca3a93745,34,EUR,OUT,,2024-08-25 08:30:07.850318 UTC
afee5369-f34a-4fd3-9cb7-89cfd8309326,6cb385ac-fe40-4277-9ac7-260a3108f65e,ab1ed866-664d-4077-9ab1-68c32ce34eee,PENDING,CARDS,f8aaa857-9086-463e-b531-9aaca3a93745,1000,EUR,OUT,,2024-08-26 12:19:53.401898 UTC
