user_id,session_id,country_of_residence,has_biometrics,phone_number_country_code,reason_to_use_app,occupation,kyc_state,gender,document_issuing_country,locale,screening_state,is_adverse_media_minor,is_pep
8b9cdf59-96ce-43b8-bb72-8f5c405894f4,956f9bd1-6605-4f2c-b710-a64c31d84bec,FR,TRUE,+33,DAILY_PAYMENT_SERVICES,IT_AND_COMMUNICATION,COMPLETED,M,FR,fr_FR,COMPLETED,FALSE,FALSE
4ee4e538-94f9-4f0a-b410-907eecbbed70,e1d244eb-4369-4043-94be-371435fa9654,FR,TRUE,+33,DAILY_PAYMENT_SERVICES,MINING_CONSTRUCTION_AND_TRANSPORT,COMPLETED,M,FR,fr_US,COMPLETED,FALSE,FALSE
e409d12e-2b1e-44af-a08d-510d2fb016b2,835d0560-4767-4f01-8a8e-109780286976,FR,TRUE,+33,DAILY_PAYMENT_SERVICES,SERVICE_AND_SALES,COMPLETED,M,IT,fr_BR,TO_SOFT_REVIEW,FALSE,FALSE
8734c537-3655-45b7-a22b-a481f2e78f31,80c490ab-b4b8-4d4a-82b0-711709d05ea0,FR,TRUE,+33,DAILY_PAYMENT_SERVICES,STUDENTS,COMPLETED,M,FR,fr_FR,COMPLETED,FALSE,FALSE
c4fef617-020d-4b7f-94cf-3ded3b929fbf,bc5ba4ff-a60c-46db-ba79-28b9c52716c7,FR,FALSE,+33,NON_CUSTODIAL_CRYPTO_WALLET,OTHER_SERVICES,COMPLETED,M,IT,en_IT,COMPLETED,FALSE,FALSE
7bf4b118-44ac-4d65-9220-15a833c4b3a1,1ee6a5ca-f567-420e-80b8-afe1fa257253,FR,FALSE,+33,INTERNATIONAL_TRANSFERS,UNEMPLOYED,COMPLETED,M,FR,fr_BJ,COMPLETED,FALSE,FALSE
f9835a09-24f5-4db3-9352-2994a22c28b7,e0e165ec-5c28-4e48-9ae2-8c6601415f18,FR,FALSE,+33,INTERNATIONAL_TRANSFERS,UNEMPLOYED,COMPLETED,M,FR,fr_BJ,COMPLETED,FALSE,FALSE
0e8622b2-f1f7-450b-8cbd-f26d7e5b479c,a32bd2ef-a9e4-45c5-b753-1c68cf93ade3,FR,TRUE,+33,CRYPTO_SERVICES,SERVICE_AND_SALES,COMPLETED,M,FR,fr_CI,TO_SOFT_REVIEW,FALSE,FALSE
1eb12126-6944-48d9-a33c-55db52704e70,12ff9c0f-7334-4fa5-bbfc-6fe28b80aea7,FR,TRUE,+33,INTERNATIONAL_TRANSFERS,OTHER_SERVICES,COMPLETED,M,FR,fr_FR,COMPLETED,FALSE,FALSE
ca15cb6c-1562-4dcc-9850-9b617f09e1dc,abcb52a6-60ae-421a-afa9-6acbe74bf843,FR,FALSE,+33,DAILY_PAYMENT_SERVICES,CRAFT_AND_RELATED_TRADES,COMPLETED,M,FR,fr_FR,TO_SOFT_REVIEW,FALSE,FALSE
